epsilon,system,class,d_prime,hit_rate,fa_rate,beta
0.3,Vit,airplane,-1.3782086294578506,0.005494505494505495,0.1220419953338518,12.872860810072124
0.3,Vit,automobile,-0.0679009719589938,0.032467532467532464,0.03771803132985224,1.1309069097818867
0.3,Vit,bird,-1.694661680186365,0.006493506493506494,0.21492056438173537,16.01959598565396
0.3,Vit,cat,-2.245927445548616,0.0004995004995004995,0.1480391067659149,130.16733147539082
0.3,Vit,deer,-1.6517953496731077,0.0014985014985014985,0.0940451060993223,34.41144612996937
0.3,Vit,dog,-1.8365194517053705,0.0024975024975024975,0.16581490945450506,32.116230939715216
0.3,Vit,frog,-1.1178293600124805,0.005494505494505495,0.07704699477835796,9.188223020377938
0.3,Vit,horse,-0.9012687039447473,0.007492507492507493,0.06282635262748583,5.967993064479054
0.3,Vit,ship,-2.1965878283564875,0.0004995004995004995,0.13692923008554606,123.47634339479825
0.3,Vit,truck,-1.6029280197599935,0.0004995004995004995,0.04571714253971781,54.067815966562954
0.0,Efficientnet,airplane,4.71081721156437,0.9715284715284715,0.002499722253082991,0.11911186466791056
0.0,Efficientnet,automobile,4.8224241472501115,0.9735264735264735,0.0019442284190645484,0.10078188432209734
0.0,Efficientnet,bird,4.492388506460142,0.9645354645354646,0.0036107099211198754,0.13836886552045716
0.0,Efficientnet,cat,3.8967027753366494,0.9245754245754245,0.00694367292523053,0.13609767568434258
0.0,Efficientnet,deer,4.4993192647544324,0.9595404595404595,0.0029441173202977445,0.1034234285090225
0.0,Efficientnet,dog,4.093831802721139,0.9395604395604396,0.005499388956782579,0.1313603696486667
0.0,Efficientnet,frog,5.190494952187649,0.9945054945054945,0.00405510498833463,0.7626616799226166
0.0,Efficientnet,horse,4.929662346025859,0.9785214785214785,0.0018331296522608599,0.11389017235300952
0.0,Efficientnet,ship,5.004940588650653,0.9865134865134865,0.0026108210198866793,0.23357609813167007
0.0,Efficientnet,truck,4.779931435845978,0.9835164835164835,0.00405510498833463,0.29207568616273677
0.01,Efficientnet,airplane,-1.8170246007468989,0.0004995004995004995,0.07026997000333296,75.844845984177
0.01,Efficientnet,automobile,-0.8546418409579815,0.007492507492507493,0.05727141428730141,5.55065489068997
0.01,Efficientnet,bird,-1.1710694004959898,0.01048951048951049,0.12770803244083992,7.519879516117271
0.01,Efficientnet,cat,-1.577669160991419,0.015484515484515484,0.28102433062993,8.664675965696857
0.01,Efficientnet,deer,-1.3330780137402893,0.0034965034965034965,0.0862681924230641,14.984240046042823
0.01,Efficientnet,dog,-0.9679810524467214,0.008491508491508492,0.07793578491278746,6.310089787356339
0.01,Efficientnet,frog,-1.4584059975056676,0.005494505494505495,0.13904010665481614,14.087988156051305
0.01,Efficientnet,horse,-1.3908455868415193,0.0004995004995004995,0.028719031218753473,36.957919486926095
0.01,Efficientnet,ship,-0.4773493314603676,0.030469530469530468,0.08126874791689813,2.1827630934959448
0.01,Efficientnet,truck,-1.1283236755537234,0.015484515484515484,0.1517053660704366,6.036158347413343
0.05,Efficientnet,airplane,-1.5671430461557614,0.0004995004995004995,0.04238417953560716,50.86617121373983
0.05,Efficientnet,automobile,-1.5994459612279877,0.0004995004995004995,0.04538384623930675,53.750649512589966
0.05,Efficientnet,bird,-2.1781592537268826,0.0004995004995004995,0.13292967448061327,120.99084280017983
0.05,Efficientnet,cat,-3.0216411597170802,0.0004995004995004995,0.3939006777024775,216.6933068080581
0.05,Efficientnet,deer,-1.8235927122603095,0.0004995004995004995,0.07115876013776247,76.58093508523385
0.05,Efficientnet,dog,-1.717527137036249,0.0004995004995004995,0.05782690812131985,65.17670879661006
0.05,Efficientnet,frog,-2.289633695989547,0.0004995004995004995,0.15837129207865794,136.1195410062166
0.05,Efficientnet,horse,-1.2881796062443898,0.0004995004995004995,0.022608599044550606,30.24855171315893
0.05,Efficientnet,ship,-1.7117406665223611,0.0004995004995004995,0.057160315520497725,64.58496821649281
0.05,Efficientnet,truck,-2.1635603417296454,0.0004995004995004995,0.12981890901010998,119.02872365850078
0.1,Efficientnet,airplane,-1.5521899827866108,0.0004995004995004995,0.04105099433396289,49.56635231187424
0.1,Efficientnet,automobile,-1.5876884755441851,0.0004995004995004995,0.044272858571269856,52.68867135288673
0.1,Efficientnet,bird,-2.176606433436502,0.0004995004995004995,0.1325963781802022,120.78183652941776
0.1,Efficientnet,cat,-3.0569968494524447,0.0004995004995004995,0.40756582601933117,218.62864057609008
0.1,Efficientnet,deer,-1.8112248905564003,0.0004995004995004995,0.06949227863570714,75.19805895858343
0.1,Efficientnet,dog,-1.7213557119614133,0.0004995004995004995,0.05827130318853461,65.56999987978115
